评论ID,国家,原始评论,分词后评论
0c55111dbb4543fd,中国,2025.1.16 11:00 Festival Grand Cinema（又一城） 依然被感动、被震撼，我仿佛就是为了看到这样的作品才诞生在世界上！??美高彩蛋太可爱了????,2025.1 . 16   11 : 00   Festival   Grand   Cinema （ 又 一城 ）   依然 被 感动 、 被 震撼 ， 我 仿佛 就是 为了 看到 这样 的 作品 才 诞生 在世界上 ！ ?? 美高 彩蛋 太 可爱 了 ?? ??
20d5447a761b4aa3,中国,捧着香港首场特典就开始哭，从韩吉哭到吼猴，终于也在大荧幕上看到今天天气真好了。喜欢片尾彩蛋，ema你们三个把日子一起过好比什么都强别单拆你那异性恋和竹马了。看到清洁工李伟扫影院还是又哭了。,捧 着 香港 首场 特典 就 开始 哭 ， 从 韩吉哭 到 吼 猴 ， 终于 也 在 大 荧幕 上 看到 今天天气 真好 了 。 喜欢 片尾 彩蛋 ， ema 你们 三个 把 日子 一起 过 好比 什么 都 强别 单 拆 你 那 异性恋 和 竹马 了 。 看到 清洁工 李伟扫 影院 还是 又 哭 了 。
1a5d105d0ee24fe2,中国,也许我出生就是为了我们三个人玩捉迷藏？,也许 我 出生 就是 为了 我们 三个 人 玩 捉迷藏 ？
4493a2dcd6aa432d,中国,我也很喜欢浪漫。 但我更喜欢安安静静，踏踏实实的生活。,我 也 很 喜欢 浪漫 。   但 我 更 喜欢 安安静静 ， 踏踏实实 的 生活 。
9337939f5b2d4e79,中国,彩蛋。 如此反差的小太妹三笠似乎是用来展示一个突破了宿主限制的人设，但又何尝不是一种迎合身份的虚有其表？ 以及，直抒胸臆的存在主义。,彩蛋 。   如此 反差 的 小 太妹 三笠 似乎 是 用来 展示 一个 突破 了 宿主 限制 的 人设 ， 但 又 何尝 不是 一种 迎合 身份 的 虚有其表 ？   以及 ， 直抒胸臆 的 存在主义 。
4496adee21ff4e3b,中国,唉唉，难道我们献出心脏只是为了去践踏别人的心脏吗,唉 唉 ， 难道 我们 献出 心脏 只是 为了 去 践踏 别人 的 心脏 吗
354ca3d0f13d4cce,中国,借主角之口说出作者对观众说的话 真有你的,借 主角 之口 说出 作者 对 观众 说 的话   真有 你 的
154c03ceac8c42ad,中国,没看前几集，剧情一头雾水,没看 前 几集 ， 剧情 一头雾水
9128a32887b7412f,中国,完结篇总集+美高彩蛋。「能和你们一起看电影很开心，如果有续作的话，再一起去看吧。」,完结篇 总集 + 美高 彩蛋 。 「 能 和 你们 一起 看 电影 很 开心 ， 如果 有续 作 的话 ， 再 一起 去 看吧 。 」
7c0976a53c0a4fb3,中国,没想到是这样的结局，这部动漫的走向越来越让它成为一部让人难忘的作品，一开始以为是简单的与巨人战斗保卫家园的故事，原来是说人类那永无止境的循环,没想到 是 这样 的 结局 ， 这部 动漫 的 走向 越来越 让 它 成为 一部 让 人 难忘 的 作品 ， 一 开始 以为 是 简单 的 与 巨人 战斗 保卫 家园 的 故事 ， 原来 是 说 人类 那 永无止境 的 循环
6cec7452aae240fe,中国,当代的战争与和平,当代 的 战争 与 和平
ee0d645849014f68,中国,影院坐得很满，很多人都哭了，再看最终季，只觉得韩吉的死处理得壮烈残酷又温柔，作者给了韩吉和艾尔文非常圆满而有尊严的死亡。虽然主角三人组很莫名其妙，但调查兵团和以莱纳为代表的马莱线还是相当令人动容。,影院 坐得 很 满 ， 很多 人 都 哭 了 ， 再 看 最终 季 ， 只 觉得 韩吉 的 死 处理 得 壮烈 残酷 又 温柔 ， 作者 给 了 韩吉 和 艾尔文 非常 圆满 而 有 尊严 的 死亡 。 虽然 主角 三人组 很 莫名其妙 ， 但 调查 兵团 和 以 莱纳 为 代表 的 马莱线 还是 相当 令人 动容 。
39b852db25f044a3,中国,巨人之间的战斗，像僵尸一样的地鸣，踩死了地上八成的人类，艾莲与调查军团，一个自由的奴隶用自己的死成全了大家的英雄一击，明知未来的颓丧，剩下的两成人类一样会有不会完结的战斗，未看过剧集，很难有三人情谊而带来的感动。,巨人 之间 的 战斗 ， 像 僵尸 一样 的 地鸣 ， 踩死 了 地上 八成 的 人类 ， 艾莲 与 调查 军团 ， 一个 自由 的 奴隶 用 自己 的 死 成全 了 大家 的 英雄 一击 ， 明知 未来 的 颓丧 ， 剩下 的 两成 人类 一样 会 有 不会 完结 的 战斗 ， 未 看过 剧集 ， 很难 有 三人 情谊 而 带来 的 感动 。
bbae11ae97494131,中国,给青春一个体面的告别。 ①文戏简直灾难性，什么心里话都往外说，这要搁姜文评价就是“最差的台词”；②谏山创和编剧明显信宗教，对什么燃烧的大海有迷一样的执念；③最后一段加的好，终于把艾伦动机说出来了。作为日本立场，灭掉80％人类让人口平衡是折中办法，但其实把外人杀光只留日本人都没问题，问题是谏山创不敢这么写??④彩蛋明说了巨人就是隐喻核弹，可以说是巧妙的把核弹创伤用作品包装出来了，要是搁现实主义大家才不会这么跟着你的想法走。 总体说是对日本文化研究的好范本。,给 青春 一个 体面 的 告别 。   ① 文戏 简直 灾难性 ， 什么 心里话 都 往外 说 ， 这要 搁 姜文 评价 就是 “ 最差 的 台词 ” ； ② 谏 山创 和 编剧 明显 信 宗教 ， 对 什么 燃烧 的 大海 有迷 一样 的 执念 ； ③ 最后 一段 加 的 好 ， 终于 把 艾伦 动机 说 出来 了 。 作为 日本 立场 ， 灭掉 80 ％ 人类 让 人口平衡 是 折中 办法 ， 但 其实 把 外人 杀光 只留 日本 人 都 没 问题 ， 问题 是 谏 山创 不敢 这么 写 ?? ④ 彩蛋 明说 了 巨人 就是 隐喻 核弹 ， 可以 说 是 巧妙 的 把 核弹 创伤 用 作品 包装 出来 了 ， 要是 搁 现实主义 大家 才 不会 这么 跟着 你 的 想法 走 。   总体 说 是 对 日本 文化 研究 的 好 范本 。
d4debd2bfddf4bee,中国,一年后再体验，敬佩其同时展开多个层次议题的勇气；前后篇整体感觉采用了一种新的阴影画法，不那么规则了；声音的重制很用心，三间不愧是从剧场版做上来的,一年 后 再 体验 ， 敬佩 其 同时 展开 多个 层次 议题 的 勇气 ； 前后 篇 整体 感觉 采用 了 一种 新 的 阴影 画法 ， 不 那么 规则 了 ； 声音 的 重制 很 用心 ， 三间 不愧 是从 剧场版 做 上来 的
cd9dab4c0e0544e9,中国,因为被朋友拉着一起看这部总集篇剧场版，一口气补了漫画。电影也是以知道地鸣发动之前的故事为前提。战斗场面在电影院看效果还可以。韩吉舍身阻挡地鸣巨人那段朋友哭得好大声（ 相比漫画，动画还让我留下印象的是，在悬崖上只有婴儿是彩色的。最后艾伦和阿尔敏的对话改动也不错。正片结束，时光流逝，一转“现代”的转世三人走出电影院讨论本作的感想，这段结尾是朋友不太满意我却很喜欢的部分。艾伦说只要和大家一起看就很好了，和我走出电影院的心情呼应了。尽管人类不会停止争斗，能安心享受电影院的生活就是美好的。,因为 被 朋友 拉着 一起 看 这部 总集 篇 剧场版 ， 一口气 补 了 漫画 。 电影 也 是 以 知道 地鸣 发动 之前 的 故事 为 前提 。 战斗 场面 在 电影院 看 效果 还 可以 。 韩吉 舍身 阻挡 地鸣 巨人 那段 朋友 哭 得 好 大声 （   相比 漫画 ， 动画 还 让 我 留下 印象 的 是 ， 在 悬崖 上 只有 婴儿 是 彩色 的 。 最后 艾伦 和 阿尔敏 的 对话 改动 也 不错 。 正片 结束 ， 时光流逝 ， 一转 “ 现代 ” 的 转世 三人 走出 电影院 讨论 本作 的 感想 ， 这 段 结尾 是 朋友 不太 满意 我 却 很 喜欢 的 部分 。 艾伦 说 只要 和 大家 一起 看 就 很 好 了 ， 和 我 走出 电影院 的 心情 呼应 了 。 尽管 人类 不会 停止 争斗 ， 能 安心 享受 电影院 的 生活 就是 美好 的 。
bdb9fa63283446eb,中国,这啊那的其实一到野鸽围围巾我就又不中了,这 啊 那 的 其实 一到 野鸽 围 围巾 我 就 又 不 中 了
f551d5f68dea4659,中国,10年！一起走过,10 年 ！ 一起 走过
80a76849e1e44543,中国,一群人在为日本人时时刻刻想要毁灭全人类的阴暗、变态想法的集大成之作鼓掌叫好。他们不知道这是在鼓励日本人再犯华夏吗？,一群 人 在 为 日本 人 时时刻刻 想要 毁灭 全人类 的 阴暗 、 变态 想法 的 集大成 之作 鼓掌 叫好 。 他们 不 知道 这 是 在 鼓励 日本 人 再犯 华夏 吗 ？
6305f70845884afa,中国,追求自由的人，最终都会人头分离。,追求 自由 的 人 ， 最终 都 会 人头 分离 。
ddcda8b6586b41c0,中国,加了个彩蛋,加 了 个 彩蛋
7c1c1a5f12df4d9c,中国,艾伦打破了尤弥尔的奴隶枷锁，三笠砍断了尤弥尔的恋爱脑。,艾伦 打破 了 尤弥尔 的 奴隶 枷锁 ， 三笠 砍断 了 尤弥尔 的 恋爱 脑 。
42c572784ab142d2,中国,落幕,落幕
6aa91d432fd544c0,中国,总集篇,总集 篇
c5795073a40e46fb,中国,如果不是最后的彩蛋我会以为我下错了，这剧情跟上部不是一模一样吗。,如果 不是 最后 的 彩蛋 我会 以为 我下 错 了 ， 这 剧情 跟 上部 不是 一模一样 吗 。
a7ce033c68c843f0,中国,最后的进击，场面调度是真的强。汉吉献出心脏，艾伦vs伙伴们的双自由对抗，而实际是伙伴们对抗着尤弥尔。巨人之力消失，人类的战争与对抗依旧持续。三笠真孤独啊。,最后 的 进击 ， 场面 调度 是 真的 强 。 汉吉 献出 心脏 ， 艾伦 vs 伙伴 们 的 双 自由 对抗 ， 而 实际 是 伙伴 们 对抗 着 尤弥尔 。 巨人 之力 消失 ， 人类 的 战争 与 对抗 依旧 持续 。 三笠 真 孤独 啊 。
28a921c49adb4f79,中国,在大银幕上看到真是令人感动。只可惜到结尾，兵长已经不能再贡献任何华丽的砍猴了，兵长好可怜??,在 大 银幕 上 看到 真是 令人感动 。 只 可惜 到 结尾 ， 兵长 已经 不能 再 贡献 任何 华丽 的 砍 猴 了 ， 兵长 好 可怜 ??
1117ea1958c74434,中国,多了最后一幕的彩蛋，也让主角三人从动漫活在现实，还是最爱你三笠,多 了 最后 一幕 的 彩蛋 ， 也 让 主角 三人 从 动漫 活在 现实 ， 还是 最爱 你 三笠
25a780df6e5f4123,中国,-9.5分,- 9.5 分
64154867f5aa4de2,中国,來到終篇了，坐在4dx的影院，座椅隨著銀幕上立體機動裝置的走向而晃動，也算滿足了初一夏天我的願望：好想學會立體機動裝置到處飛！當初在艾蓮倒立苦練的時候我也暗暗使勁，訓練兵氣體耗盡直面巨人的時候我也一樣恐慌，那時候最喜歡三笠又強又颯，總是很有餘裕地戰鬥，也真切地夢想過成為他們的一員，去海的那邊···突然好想回到過去，這麽多年過去一切都變了，原來未來一點都不值得期待。但是，就這樣一直前進下去，戰鬥吧！,來 到 終篇 了 ， 坐在 4dx 的 影院 ， 座椅 隨著 銀幕 上 立體 機動 裝置 的 走向 而晃動 ， 也 算 滿足 了 初一 夏天 我 的 願望 ： 好想 學會 立體 機動 裝置 到 處飛 ！ 當初 在 艾蓮 倒立 苦練 的 時候 我 也 暗暗 使勁 ， 訓練兵 氣體 耗盡 直面 巨人 的 時候 我 也 一樣 恐慌 ， 那時候 最喜 歡三笠 又 強又颯 ， 總是 很 有 餘裕地 戰鬥 ， 也 真切 地夢想 過成 為 他們 的 一員 ， 去海 的 那邊 · · · 突然 好 想 回到 過去 ， 這 麽 多年 過去 一切 都 變 了 ， 原來 未來 一點 都 不 值得 期待 。 但是 ， 就 這樣 一直 前進 下去 ， 戰鬥 吧 ！
6396d5a51b8f4065,中国,IMAX厅大银幕也太过瘾了吧,IMAX 厅 大 银幕 也 太 过瘾 了 吧
aac38fe0d0694bf2,中国,属于是中二动漫里比较有深度的，因此缺点也比较突出，就是中二。作者设置的世界观和野心难以由他的人物塑造和整体把控力支撑起来，所以人物的行为并不是被命运推动，而是被作者的意图推动，使得人物中二得不得了，并且作者试图用理智上的政治正确掩饰他情感上对于人类的某种微妙的厌恶。节奏拖沓和故作深沉让人觉得已经超过了合理的范畴。,属于 是 中 二 动漫 里 比较 有 深度 的 ， 因此 缺点 也 比较突出 ， 就是 中 二 。 作者 设置 的 世界观 和 野心 难以 由 他 的 人物 塑造 和 整体 把 控力 支撑 起来 ， 所以 人物 的 行为 并 不是 被 命运 推动 ， 而是 被 作者 的 意图 推动 ， 使得 人物 中二得 不得了 ， 并且 作者 试图用 理智 上 的 政治 正确 掩饰 他 情感 上 对于 人类 的 某种 微妙 的 厌恶 。 节奏 拖沓 和 故作 深沉 让 人 觉得 已经 超过 了 合理 的 范畴 。
39f640110c2943f9,中国,救命！即使（剧透的网友让）我拥有预知未来的能力，还是在看到最后那莫名其妙的一章时狠狠翻了白眼。。。,救命 ！ 即使 （ 剧透 的 网友 让 ） 我 拥有 预知 未来 的 能力 ， 还是 在 看到 最后 那 莫名其妙 的 一章 时 狠狠 翻 了 白眼 。 。 。
7dd9800678964da8,中国,十年剪辑片 感动人心的故事 影院大屏,十年 剪辑 片   感动 人心 的 故事   影院 大屏
64c721aded144371,中国,看点好的 能和你们一起看电影就很幸福了 突然有点好奇谏山创做为一个生活在二十一世纪和平时代的人是怎么关心到且能写出战争这种明显脱离作者现实日常生活这种属于20世纪上半叶的题材的？（很久之后的答案：也许他不懂战争但是懂人性仇恨，用战争的载体去装仇恨） 还有就是三笠身上的刚强勇武和贤妻良母如何共存？整装提刀的三笠和坐在树下的三笠如何是同一个人？这两者放到现实中应该是矛盾的,看点 好 的   能 和 你们 一起 看 电影 就 很 幸福 了   突然 有点 好奇 谏 山创 做 为 一个 生活 在 二十一 世纪 和平 时代 的 人 是 怎么 关心 到 且 能 写出 战争 这种 明显 脱离 作者 现实 日常生活 这种 属于 20 世纪 上半叶 的 题材 的 ？ （ 很 久 之后 的 答案 ： 也许 他 不 懂 战争 但是 懂 人性 仇恨 ， 用 战争 的 载体 去 装 仇恨 ）   还有 就是 三笠 身上 的 刚强 勇武 和 贤妻良母 如何 共存 ？ 整装 提刀 的 三笠 和 坐在 树下 的 三笠 如何 是 同一个 人 ？ 这 两者 放到 现实 中 应该 是 矛盾 的
72ea99852cb84631,中国,残酷的轮回人们无法终结，我能做的只是对当下的幸福知足，并对永恒抱以盼望。 我们如今仿佛对着镜子观看，模糊不清，如同猜谜，到那时，就要面对面了。我如今所知道的有限，到那时就全知道，如同God知道我一样。 我今天才是给进击的巨人这部作品在我心中真正的画上句号，此刻心中有满足、有感动、有顿悟也有孤独与悲凉，更有喜乐与盼望！,残酷 的 轮回 人们 无法 终结 ， 我能 做 的 只是 对 当下 的 幸福 知足 ， 并 对 永恒 抱以 盼望 。   我们 如今 仿佛 对 着 镜子 观看 ， 模糊不清 ， 如同 猜谜 ， 到 那时 ， 就要 面对面 了 。 我 如今 所 知道 的 有限 ， 到 那时 就 全 知道 ， 如同 God 知道 我 一样 。   我 今天 才 是 给 进击 的 巨人 这部 作品 在我心中 真正 的 画 上 句号 ， 此刻 心中 有 满足 、 有 感动 、 有 顿悟 也 有 孤独 与 悲凉 ， 更 有 喜乐 与 盼望 ！
fb2b11846ead4f8b,中国,就是前篇和后篇的合体剧场版。多了一个片尾彩蛋，像是结尾不尽人意的一个多余的解释和宽慰。,就是 前篇 和 后 篇 的 合体 剧场版 。 多 了 一个 片尾 彩蛋 ， 像是 结尾 不尽人意 的 一个 多余 的 解释 和 宽慰 。
486c1c5e305f4549,中国,主要是补一下彩蛋，还蛮意味深长的??,主要 是 补 一下 彩蛋 ， 还 蛮 意味深长 的 ??
c2ce9d4fec4e442e,中国,北美乡村刚上映，电影院里基本民族大熔炉，亚裔反而不多，真·出圈。为最后两分钟彩蛋的醋包了2个半小时的总篇集大饺子。“那种事情不要啊”的时候全场充满了快活的空气。,北美 乡村 刚 上映 ， 电影院 里 基本 民族 大 熔炉 ， 亚裔 反而 不 多 ， 真 · 出 圈 。 为 最后 两分钟 彩蛋 的 醋 包 了 2 个 半小时 的 总篇 集大 饺子 。 “ 那种 事情 不要 啊 ” 的 时候 全场 充满 了 快活 的 空气 。
d340b6b87e894d9a,中国,哭了一个小时。最喜欢的结局。我们向未来走去，地狱向我们走来。,哭 了 一个 小时 。 最 喜欢 的 结局 。 我们 向 未来 走 去 ， 地狱 向 我们 走来 。
e34b5e26db7f4d5e,中国,90分。,90 分 。
ec66bf1e6db344a0,中国,虽然用宿命论去解释是一种圆不上只能强行圆的手法，但三笠刀下去的那一刻，我能觉得是谏山创的初始想法，倒也解释得通。只是说，循环这种命理嘛。彩蛋很好，这就应该是我们开放的心态。,虽然 用 宿命论 去 解释 是 一种 圆不上 只能 强行 圆 的 手法 ， 但三笠 刀 下去 的 那一刻 ， 我能 觉得 是 谏 山创 的 初始 想法 ， 倒 也 解释 得通 。 只是 说 ， 循环 这种 命理 嘛 。 彩蛋 很 好 ， 这 就 应该 是 我们 开放 的 心态 。
5cd02f56f760497c,中国,Regal Union Square 跟这一切和解了。「私は無知で愚かで、世界は理不尽で狂っている。 」その物語も。私も。,Regal   Union   Square   跟 这 一切 和解 了 。 「 私 は 無知 で 愚 か で 、 世界 は 理 不尽 で 狂 っ て い る 。   」 そ の 物語 も 。 私 も 。
3ad82d27e5864a27,中国,不看巨人的素质品味修养都比较低,不看 巨人 的 素质 品味 修养 都 比较 低
02fdaf95a6454e54,中国,人类总是那么贱,人类 总是 那么 贱
25f0382ea478426e,中国,在最大程度具现化漫画的基础上的“本手”之作，也承袭了漫画在画工、人物、情节上的缺陷种种。,在 最大 程度 具现化 漫画 的 基础 上 的 “ 本手 ” 之作 ， 也 承袭 了 漫画 在 画工 、 人物 、 情节 上 的 缺陷 种种 。
